入口,出口,軽自動車,普通車,中型車,大型車,特大車,軽自動車,普通車,中型車,大型車,特大車,軽自動車,普通車,中型車,大型車,特大車,軽自動車,普通車,中型車,大型車,特大車,軽自動車,普通車,中型車,大型車,特大車,軽自動車,普通車,中型車,大型車,特大車,軽自動車,普通車,中型車,大型車,特大車
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
